counter,latitude,longitude,idx
52,4000292,11646180,1
64,3996765,11641355,2
58,3998019,11635132,3
36,3999072,11640105,4
62,3986340,11636896,5
34,3996186,11639052,6
42,3986538,11637300,7
20,3973719,11632649,8
65,3990580,11626767,9
59,3988943,11634706,10
10,3997486,11631073,11
55,4006202,11632572,12
30,4004597,11627795,13
12,4043438,11597930,14
40,3987613,11631528,15
80,4032019,11663728,16
48,3994533,11643905,17
56,4000905,11633684,18
32,4000868,11642756,19
43,3999938,11650347,20
76,3986395,11628814,21
42,3998271,11645176,22
71,3991372,11636747,23
30,3974544,11631042,24
40,3994548,11633650,25
68,4022289,11621733,26
38,3973041,11632671,27
34,3995735,11628213,28
38,3988996,11659922,29
18,3995421,11630333,30
44,3989820,11667082,31
54,3983592,11623298,32
28,3982938,11652759,33
50,3991816,11626917,34
41,3993490,11644416,35
66,3983950,11646364,36
40,3987146,11646615,37
28,3971374,11607553,38
32,3999000,11633111,39
35,3995740,11683206,40
24,3993935,11640395,41
50,3995038,11632994,42
21,3990799,11666968,43
53,3989773,11647978,44
42,3985545,11641085,45
30,3992373,11622196,46
44,3989195,11669550,47
28,3991336,11670174,48
65,3985275,11627687,49
24,3995050,11654537,50
32,3986091,11642047,51
68,4020990,11614573,52
28,3989331,11634683,53
50,4000948,11633699,54
27,3991203,11644928,55
21,3997764,11631055,56
18,4012885,11665267,57
62,4034729,11665052,58
20,3998291,11630506,59
66,3987328,11634760,60
30,3998367,11648348,61
18,4007917,11658638,62
40,3981708,11628760,63
34,3998327,11634720,64
20,3994140,11619433,65
66,3985043,11635894,66
18,3989393,11645907,67
59,3992247,11654520,68
20,3985598,11640795,69
24,3991599,11645448,70
48,3989204,11644038,71
59,3990665,11644533,72
52,3991608,11640086,73
55,3992143,11644464,74
40,3988330,11645779,75
42,4004970,11642375,76
20,3988044,11666072,77
50,3992949,11643739,78
73,3990849,11645159,79
50,3978343,11639443,80
29,3987649,11644478,81
44,3977135,11632942,82
40,3983831,11646765,83
31,4008535,11631886,84
52,3990909,11628910,85
31,4008303,11631505,86
40,3994557,11632325,87
38,3997919,11643429,88
50,3989594,11645290,89
28,3996730,11640445,90
34,3996522,11627572,91
38,3970963,11632634,92
46,3987477,11646866,93
55,3987462,11666119,94
49,3996706,11642697,95
32,3997413,11640282,96
55,4004095,11629708,97
39,3998980,11633122,98
54,4035820,11668563,99
82,3997594,11638865,100
11,3992244,11634756,101
36,3989780,11650906,102
38,4000297,11639829,103
18,3994276,11651111,104
38,3988310,11667890,105
36,3989940,11639817,106
52,4031476,11662588,107
44,4014077,11711251,108
48,3993252,11644876,109
56,3995224,11631587,110
40,3991267,11633350,111
38,3994660,11644359,112
60,3990090,11641226,113
46,3989222,11645421,114
56,3998006,11634791,115
54,3998225,11649774,116
54,3995340,11632956,117
38,3970469,11639805,118
71,4000682,11633032,119
30,3977132,11632711,120
45,3986918,11652483,121
66,4001772,11641412,122
11,4005498,11640973,123
36,3993969,11641978,124
62,3990645,11648057,125
66,3990053,11632830,126
73,3989020,11645895,127
50,4005004,11640865,128
54,3989590,11631844,129
38,3975210,11632522,130
38,3972970,11612747,131
80,4030748,11662436,132
60,3996781,11640349,133
17,3990260,11641713,134
61,4007931,11658703,135
49,3983787,11634357,136
55,3996746,11640673,137
39,3993228,11643704,138
46,3990868,11647191,139
32,3987845,11646817,140
20,3990627,11663771,141
50,3993246,11644205,142
44,3994637,11671656,143
41,3993066,11644009,144
66,3986377,11635844,145
40,3983595,11623172,146
61,3997149,11654897,147
49,3972223,11632679,148
16,4021462,11623416,149
36,3997119,11635949,150
32,4002542,11640766,151
35,3978893,11648316,152
48,3994375,11646790,153
45,3992882,11643742,154
61,3991241,11640766,155
49,3983571,11629448,156
16,3990632,11624037,157
24,4001397,11634684,158
20,3988557,11667998,159
24,4000458,11631544,160
43,3999948,11634413,161
67,3999319,11633390,162
17,3991705,11640353,163
47,3998782,11641737,164
53,3991736,11635860,165
70,3990563,11643756,166
10,3997527,11634674,167
48,3999196,11642753,168
52,4029177,11656800,169
21,3966670,11640791,170
66,3986999,11647081,171
63,3995024,11639656,172
73,3983764,11644364,173
50,3998549,11633437,174
10,3986819,11638620,175
48,3999658,11638685,176
35,3990268,11620881,177
24,3984438,11642234,178
34,3971536,11632201,179
33,3972188,11611639,180
54,4032019,11663864,181
82,3989024,11631562,182
29,3993084,11642573,183
59,3988166,11643432,184
48,3991708,11640503,185
56,3990274,11623881,186
24,3994423,11644447,187
32,3987477,11635775,188
66,3991233,11634703,189
53,4000383,11646379,190
32,3994933,11646228,191
81,3994085,11634560,192
50,4002016,11640843,193
28,3986482,11637310,194
44,3987020,11669231,195
16,4004224,11658860,196
52,3990376,11626831,197
34,4004800,11626517,198
38,3999407,11641090,199
18,4005399,11661080,200
25,3991425,11641364,201
64,4029050,11664051,202
22,4012351,11665116,203
62,3984719,11640844,204
82,3994886,11651008,205
28,3994416,11629871,206
55,3998621,11637572,207
39,3993468,11649531,208
50,4014411,11710353,209
48,3972513,11613572,210
22,3973042,11632674,211
32,3992844,11641962,212
34,3974494,11631974,213
40,3992885,11646393,214
76,3996781,11640441,215
57,3993519,11637330,216
