,index,id,counter,num,time,latitude,longitude,load,center_idx
0,448652,e7b378cd4043e6f115621fb168f8c6c8,32,6385,2016-09-01 10:04:04,39.73114,116.42782,0,1998
1,306443,9d9041d4adf5374305b989760ea7eca9,34,6374,2016-09-01 01:54:28,39.83953,116.28076,0,0
2,271529,8bc40dbaf87506df4dc887029138dcc0,64,6412,2016-09-01 15:26:01,40.21954,116.25589,1,1
3,220630,7291a7cf39cf8ea7b05cd53558b7c315,56,6378,2016-09-01 09:55:41,39.87076,116.68183,0,133
4,29305,0fdd71412bf944266e6838cac1aa2940,34,6412,2016-09-01 14:27:17,40.12884,116.63697,1,2579
5,109190,38a6e937ceccdeb60b14a9ecba73e4fe,58,6374,2016-09-01 19:25:19,39.81131,116.38794,0,1985
6,388331,c7663f6e863cdf65756920f61d8a5842,18,6381,2016-09-01 21:53:54,40.03533,116.53617,0,253
7,365518,bb6653db1c3b3c59efb10baf556e51e9,57,6403,2016-09-01 08:15:54,39.97293,116.41831,1,3441
8,467154,f1787a6e1bc518208994df1e14ae8cc9,58,6406,2016-09-01 04:09:15,40.06706,116.32637,0,1029
9,335744,ac7ffb885145f137fcfe3bce59deac79,26,6374,2016-09-01 15:21:08,39.90749,116.35152,1,134
10,76567,275f0c1f3993f3f61705b62c64309215,36,6409,2016-09-01 21:05:26,39.82818,116.44332,0,1047
11,195789,65c058238fea247142331ea04ce3bbd2,46,6378,2016-09-01 16:23:58,39.95378,116.27015,1,2
12,442505,e4f2468b46beb3d438bc9f6c0bda711a,47,6415,2016-09-01 00:54:14,39.88276,116.42237,1,230
13,227920,75edac5b563759115efe46af252fddc6,40,6361,2016-09-01 15:41:59,39.97548,116.34559,0,2763
14,281309,90a297c72713921b4445450c1a3d4fae,68,6361,2016-09-01 07:28:36,39.949,116.45858,1,1885
15,37081,13f3e967e7210498417770cc046d7ca2,49,6406,2016-09-01 03:20:06,40.00476,116.40549,1,3213
16,156118,5185c1344e6a8bcce98b5e346f89fda1,29,6418,2016-09-01 12:23:05,39.91458,116.44426,0,1712
17,321122,a4c8aa2dba86263b7bc48b13da302223,62,6407,2016-09-01 07:49:08,40.2952,116.64326,0,3001
18,378154,c21466b0b261b6a63585448e6ce26a8c,52,6378,2016-09-01 11:33:57,39.88228,116.66099,1,2640
19,431558,de5489acbb1e21c0ebf207098a084b7a,74,6412,2016-09-01 15:13:05,40.21942,116.25594,1,3
20,143672,4b6062d3577ae95a7e9f77e2ac77259f,49,6374,2016-09-01 21:56:44,39.98193,116.40659,1,1899
21,480469,f8979661b7bd87098c7c314c699fdcfd,52,6383,2016-09-01 16:38:21,39.93887,116.48578,0,2576
22,357724,b796dc75581e26d4dd5aea3e112c3637,48,6381,2016-09-01 15:54:09,39.89255,116.4549,0,4
23,457903,eca517a2dc00480045eef2c1b3310399,50,6378,2016-09-01 09:52:39,39.90141,116.68369,0,133
24,60755,1f9b7169880962098b2ab1adb8b225ec,38,6364,2016-09-01 19:57:41,39.89018,116.35736,1,5
25,381247,c39bb89de578b745d51102e9610daa32,48,6406,2016-09-01 00:39:46,39.91643,116.17823,0,1580
26,408782,d2bc50e0a8d9dbb34e57cd77a766a11d,48,6414,2016-09-01 10:32:26,39.94378,116.45686,1,2520
27,193989,64ddd03596afd812ce1667f835df83d8,34,6414,2016-09-01 08:31:58,39.89202,116.21755,1,6
28,110754,399e87b95f4e68ee6fa0e5e94117b4d2,50,6407,2016-09-01 09:08:34,40.328,116.62719,0,2447
29,147642,4d78a3df07befe825fddca723c9c74cd,40,6410,2016-09-01 10:05:47,40.07912,116.58667,0,1419
30,178353,5d203e4cb05a335e109c49467189ea28,88,6363,2016-09-01 22:21:43,39.99815,116.33915,0,2996
31,71234,24c0bc5908b3c99c58da84b032277c48,46,6413,2016-09-01 12:33:05,39.92151,116.4731,1,1955
32,45529,184935c820c93f807ad171cd8bb2cdf4,80,6381,2016-09-01 21:27:33,39.96063,116.40237,1,3032
33,113621,3b184506ebf006335f11244ecd251f24,77,6410,2016-09-01 14:17:33,40.04684,116.33886,0,910
34,175835,5bce9ef97643fc7e9bd8c1c2a366e00e,40,6361,2016-09-01 10:22:11,39.99962,116.33911,0,2996
35,253071,82a5579d4538cec8f66836a563f56561,50,6378,2016-09-01 21:13:42,40.0486,116.58479,0,2159
36,431106,de125483c072e609c6a36af5611359c8,52,6374,2016-09-01 20:39:58,39.91724,116.40518,1,7
37,24563,0d86734567ca9043804a4edf73b4dbed,12,6415,2016-09-01 22:05:41,39.89488,116.35734,0,8
38,482769,f9a87b3556b5a35a0afb739b40c071a9,50,6378,2016-09-01 23:14:55,39.89189,116.41477,1,2330
39,243166,7dc3cf3c89afa8c911554e5377b0bd2f,50,6406,2016-09-01 09:45:58,39.72454,116.34086,1,2657
40,267445,899d745d0aec39a0d8862a765a151e95,51,6410,2016-09-01 10:21:41,40.00154,116.41088,0,3469
41,49798,1a58def4982089521bdfbc8352c92e65,73,6363,2016-09-01 17:18:47,39.92723,116.47221,0,9
42,457827,ec97ae11eec9fb31a075298000cedf24,53,6363,2016-09-01 17:32:14,39.93666,116.43801,1,1619
43,136849,47e30bda1425aa08dbfd14561dfe3742,42,6406,2016-09-01 14:14:09,39.95152,116.32935,1,2186
44,279806,8fb40e4ec7ed31d7b07620d0ffc3c6f6,24,6369,2016-09-01 10:22:39,39.77732,116.4274,0,950
45,80314,296dd9834682cfe4bcee53b4399c8962,26,6414,2016-09-01 23:17:15,39.90275,116.44841,0,10
46,168631,581066b97f4f14092b54d9d693d7b30d,30,6404,2016-09-01 17:36:09,40.04534,116.43157,0,112
47,18923,0a6c0c9549a3c678c05cfd6ca3e22cd4,16,6378,2016-09-01 01:23:34,39.99974,116.36701,0,1490
48,234500,79543c5a5849052a37333c8e3d1b1938,14,6364,2016-09-01 09:32:36,39.79119,116.39167,0,1985
49,442226,e4c97c0b816c0dcc56943895ce837365,54,6403,2016-09-01 13:15:03,39.92653,116.36081,1,2999
50,69077,23d24876644847647612731647d9c1a0,82,6407,2016-09-01 18:01:50,40.33084,116.6248,1,2447
51,87845,2d4f7faf83ce5b07699875555e8fb9a1,84,6414,2016-09-01 18:15:42,40.2146,116.24463,1,825
52,47053,19118432d0df3d8eb2f2ec543c63d770,56,6407,2016-09-01 19:16:50,40.31164,116.63049,1,299
53,329630,a9757194e2e4195efb28315581ccff99,58,6410,2016-09-01 08:37:10,39.95833,116.29356,0,11
54,443537,e5733fb190c81ce9679f801a10f66422,42,6410,2016-09-01 09:11:03,39.86014,116.18097,1,2168
55,449584,e8138bc27d9cf4182c27eabf3a3402dd,28,6374,2016-09-01 14:35:22,39.89619,116.34694,1,1734
56,154592,50c984d41038b518a006b68d48065658,54,6414,2016-09-01 10:46:29,39.98536,116.35184,1,1548
57,145387,4c4ad1d78c206d5c66aced6cd31e808b,22,6414,2016-09-01 13:16:11,39.85545,116.38779,1,650
58,162875,553a5f792b4aa3ae5994fd880392e805,34,6385,2016-09-01 12:55:02,39.86535,116.4525,1,12
59,83704,2b2b314325955a4cd97832172fab94f1,36,6413,2016-09-01 07:17:29,39.91415,116.59965,1,2409
60,337525,ad6c51a394b8060120e3028b6d1b5348,52,6364,2016-09-01 10:09:33,40.04592,116.61312,0,235
61,46063,1884b4b50cb6d906e2fac1fb91f97571,22,6382,2016-09-01 22:41:34,39.99955,116.4784,1,13
62,353980,b589143500b84df1a40842631d768d52,28,6414,2016-09-01 12:48:30,39.90235,116.10457,0,2006
63,438804,e2b14d0fbac8931a80bf8c0caf223f5c,58,6387,2016-09-01 19:54:34,39.93201,116.39786,0,3427
64,192831,644a1b8f404ce7f51f5470b3366f22cc,28,6364,2016-09-01 13:55:11,39.88555,116.27225,0,14
65,261064,8673327f9b49f051e55eba21b08a5ecf,48,6410,2016-09-01 19:30:58,39.98037,116.35449,0,15
66,137099,47f81303c8984aacadb3d5010a642986,36,6406,2016-09-01 17:16:43,39.98514,116.47371,0,16
67,18783,0a475014517cf253c9946e9334e4cf4e,24,6406,2016-09-01 06:58:53,39.97575,116.40086,0,768
68,322888,a5fde6a5d51a8abf8ea63c6681698e19,46,6374,2016-09-01 14:11:29,39.83895,116.39501,0,442
69,487046,fbe4cceaf9c113b85a7e8ab976282294,46,6364,2016-09-01 07:42:02,39.99313,116.37928,1,1126
70,133506,464f8b6f7b3cbe047106279b7afc4310,71,6668,2016-09-01 14:39:21,39.96535,116.41173,1,2218
71,403352,d01d6257ca3e01f57ff83f690de2bfc9,51,6415,2016-09-01 16:11:22,39.92388,116.4668,1,17
72,246246,7f7e545f3673cd5df65a723a18a07592,76,6415,2016-09-01 13:21:40,39.86867,116.38181,0,3512
73,154358,509cb17c50fa13b5e4ec5a2994acf20f,19,6407,2016-09-01 22:44:19,40.32765,116.63934,0,1869
74,417326,d6ee86e0984bf4f32649a306b9b363bd,26,6363,2016-09-01 18:24:23,39.90336,116.18058,1,2168
75,50123,1a980f9f078627e960e09c9cc406d068,80,6415,2016-09-01 08:25:12,39.91141,116.41164,1,2542
76,172948,5a820800e9bdf4003b912dedfd2c1b14,38,6410,2016-09-01 14:27:26,39.92573,116.44081,1,450
77,19545,0ad7c51984833603e4f728b15f368429,48,6415,2016-09-01 07:18:31,39.92683,116.32181,0,3168
78,332532,aaf901b6e1fe379857e2d0e37a8a8b4d,76,6410,2016-09-01 12:34:09,39.95657,116.3658,1,18
79,132205,45b9417bf837dcbd05593791fbef930f,36,6364,2016-09-01 20:59:30,39.91594,116.3361,0,2996
80,428151,dcf010c8b8085e0aefc893b9f72b88e2,62,6372,2016-09-01 09:29:48,39.91063,116.4525,1,19
81,279257,8f6d39cc9682eaca25a682c683054289,61,6406,2016-09-01 13:23:59,39.88879,116.31982,0,2577
82,441431,e4848d5a0c2e8ccc7471316a79f6fd16,58,6410,2016-09-01 13:29:23,39.98324,116.32121,0,3031
83,330325,a9e98d6a87751b9003970bb390735e53,40,6381,2016-09-01 13:41:00,39.99999,116.45686,0,1731
84,66304,22654c818bab631a4b912cf39362590b,42,6380,2016-09-01 15:41:22,40.14869,116.63443,0,2579
85,205105,6aaef55f08695ffcf038968bf5e11e10,48,6413,2016-09-01 19:26:51,40.12192,117.17087,0,1551
86,381624,c3b2a7b7c4607c1b261a822c863a40e1,56,6406,2016-09-01 13:32:41,39.92327,116.49356,0,525
87,80766,29a7a7d1eb662d0b2f9cafedaedc7aed,83,6381,2016-09-01 10:52:03,39.96156,116.37895,0,20
88,335984,ac957b46cd35c728eb61ec6df649e1ce,54,6413,2016-09-01 10:13:07,39.95061,116.27419,0,21
89,82917,2ae4b4fb33b500c5f134898083917bd8,34,6412,2016-09-01 08:23:15,39.91073,116.3606,0,1976
90,121241,3f2fb3fb6d26eec2727cd48d575f6b98,53,6387,2016-09-01 21:57:55,40.03143,116.43515,0,961
91,466854,f1331213e51b3e5d8b0bef2c46548bde,38,6413,2016-09-01 04:44:04,39.91081,116.40772,1,22
92,389465,c7d20dca26828dfd7119ea6365cbe1fc,58,6381,2016-09-01 17:22:12,39.96151,116.29259,0,23
93,31752,114778029d0eb808b6639ae0706e0cfb,62,6410,2016-09-01 15:55:59,39.88532,116.36627,0,3473
94,253206,82aa492c0f1427dc813dae94eb42a719,41,6413,2016-09-01 13:11:23,39.92685,116.34484,0,2763
95,187925,61e41abac9751337fddbed9095b87ba6,54,6381,2016-09-01 00:03:49,39.91319,116.4856,1,2576
96,132531,45e7664f3608080855effa7ad6e37d1b,90,6412,2016-09-01 23:42:14,39.96199,116.39594,0,1466
97,213051,6ee0aa0e9592a7738ca0dddd9043ffdb,38,6373,2016-09-01 09:39:43,39.9662,116.357,0,24
98,446596,e6d2dcc80ba10050067ec494ae47e19d,50,6410,2016-08-25 08:36:30,39.96254,116.40177,0,3032
99,61320,1fde654a1601480b0200fddbea24073a,50,6391,2016-09-01 07:18:30,40.38435,116.82925,1,2101
100,286549,931f7564cd122011f29bbb20ddabcbda,34,6412,2016-09-01 15:27:15,39.96754,116.39254,1,1059
101,113557,3b13eef12c91f164380028338740e704,40,6378,2016-09-01 11:50:30,39.90721,116.65417,1,3419
102,360553,b92aafe295d537397910f4f830a494e4,51,6378,2016-09-01 12:39:45,39.95498,116.45326,1,3229
103,272810,8c82406884a1f04eb8cba5156847c05e,26,6413,2016-09-01 06:45:00,39.97583,116.31127,1,305
104,163132,555d8b66ff57e550f1c0f73cfe307c8c,28,6374,2016-09-01 09:27:11,39.9326,116.46002,0,25
105,72338,254b8e42a372142da6811eebf99c037d,78,6668,2016-09-01 08:07:28,39.79173,116.35176,1,1901
106,169717,58ad3ca79692218697143760aac0d649,47,6406,2016-09-01 07:16:09,40.02134,116.28007,1,26
107,90106,2e54f2e93ab363b84b319d394c379208,32,6409,2016-09-01 17:42:50,39.92306,116.43078,1,872
108,176261,5c02e32e48586129a6724bb40436365d,34,6413,2016-09-01 07:09:43,40.00626,116.33705,1,910
109,120604,3edb28948cb168f61687888fc88d228d,40,6387,2016-09-01 09:18:37,39.93954,116.41466,1,2330
110,282698,914294b874d5424fb0ba3663dfc18f00,26,6403,2016-09-01 04:56:38,39.97513,116.22602,0,635
